filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
Bodied,89,86,82,500+,R (Strong Language|Brief Nudity|Some Drug Use|Sexual Content Throughout),Comedy,English,Joseph Kahn,"Eminem, Paul Rosenberg, Adi Shankar",Alex Larsen,"Nov 2, 2018  Limited","Sep 3, 2019",$114.0K,2h 1m,Neon,,"Calum Worthy,Jackie Long,Rory Uphold,Walter Perez,Shoniqua Shandai,Charlamagne tha God,Dizaster,Debra Wilson,Anthony Michael Hall,Lisa Maley,"
The Front Runner,58,40,230,500+,R (Some Sexual References|Language),"Biography, Drama",English,Jason Reitman,"Jason Reitman, Helen Estabrook, Aaron L. Gilbert","Matt Bai, Jay Carson, Jason Reitman","Nov 23, 2018  Wide","Feb 19, 2019",$2.0M,1h 53m,"Columbia Pictures, Sony Pictures Entertainment, Stage 6",,"Hugh Jackman,Vera Farmiga,J.K. Simmons,Alfred Molina,Mamoudou Athie,Josh Brener,Bill Burr,Oliver Cooper,Chris Coy,Kaitlyn Dever,"
The Grinch,,,,,,,,,,,,,,,,,
The Girl in the Spider's Web,39,35,238,"1,000+",R (Some Sexual Content/Nudity|Language|Violence),"Action, Mystery & Thriller",English,Fede Alvarez,"Scott Rudin, Eli Bush, Ole Søndberg, Søren Stærmose, Berna Levin, Amy Pascal, Elizabeth Cantillon","Jay Basu, Fede Alvarez, Steven Knight","Nov 9, 2018  Wide","Feb 5, 2019",$14.8M,1h 57m,"Sony Pictures Entertainment, Columbia Pictures",,"Claire Foy,Beau Gadsdon,Sverrir Gudnason,LaKeith Stanfield,Sylvia Hoeks,Carlotta von Falkenhayn,Stephen Merchant,Christopher Convery,Claes Bang,Synnøve Macody Lund,"
Overlord,81,66,227,"2,500+",R (Disturbing Images|Brief Sexual Content|Language|Strong Bloody Violence),"Action, Mystery & Thriller, Horror",English,Julius Avery,"J.J. Abrams, Lindsey Weber","Billy Ray, Mark L. Smith","Nov 9, 2018  Wide","Feb 5, 2019",$21.7M,1h 50m,Paramount Pictures,,"Jovan Adepo,Wyatt Russell,Pilou Asbæk,Mathilde Ollivier,John Magaro,Iain De Caestecker,Jacob Anderson,Dominic Applewhite,Bokeem Woodbine,Marc Rissmann,"
The Ballad of Buster Scruggs,89,77,234,"2,500+",R (Some Strong Violence),"Western, Drama, Comedy",English,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen, Megan Ellison, Sue Naegle","Joel Coen, Ethan Coen","Nov 8, 2018  Limited","Nov 16, 2018",,2h 12m,Netflix,,"Tim Blake Nelson,Willie Watson,David Krumholtz,James Franco,Stephen Root,Ralph Ineson,Liam Neeson,Harry Melling,Tom Waits,Zoe Kazan,"
Lazer Team 2,,,,,,,,,,,,,,,,,
Lionsgate,,,,,,,,,,,,,,,,,
Fantastic Beasts: The Crimes of Grindelwald,36,54,333,"10,000+",PG-13 (Sequences of Fantasy Action),"Fantasy, Adventure",English,David Yates,"David Heyman, J.K. Rowling, Steve Kloves, Lionel Wigram",J.K. Rowling,"Nov 16, 2018  Wide","Mar 11, 2019",$159.4M,2h 14m,Warner Bros. Pictures,,"Eddie Redmayne,Katherine Waterston,Dan Fogler,Alison Sudol,Ezra Miller,Zoë Kravitz,Jude Law,Johnny Depp,Callum Turner,Claudia Kim,"
Widows,91,61,420,"5,000+",R (Some Sexual Content/Nudity|Language Throughout|Violence),"Mystery & Thriller, Crime, Drama",English,Steve McQueen,"Iain Canning, Emile Sherman, Steve McQueen, Arnon Milchan","Steve McQueen, Gillian Flynn","Nov 16, 2018  Wide","Feb 5, 2019",$42.4M,2h 8m,20th Century Fox,,"Viola Davis,Colin Farrell,Michelle Rodriguez,Elizabeth Debicki,Cynthia Erivo,Brian Tyree Henry,Daniel Kaluuya,Jacki Weaver,Robert Duvall,Liam Neeson,"
Instant Family,81,82,156,"2,500+",PG-13 (Sexual Material|Language|Some Drug References|Thematic Elements),"Drama, Comedy",English,Sean Anders,"Mark Wahlberg, Stephen Levinson, Sean Anders, John Morris, Marc D. Evans","Sean Anders, John Morris","Nov 16, 2018  Wide","Feb 19, 2019",$67.3M,1h 59m,Paramount Pictures,,"Mark Wahlberg,Rose Byrne,Octavia Spencer,Isabela Merced,Tig Notaro,Gustavo Escobar,Julianna Gamiz,Margo Martindale,Julie Hagerty,Michael O'Keefe,"
Ralph Breaks the Internet,88,65,274,"5,000+",PG (Some Action and Rude Humor),"Adventure, Comedy, Kids & Family, Animation",English,"Phil Johnston, Rich Moore",Clark Spencer,"Phil Johnston, Pamela Ribon","Nov 21, 2018  Wide","Feb 12, 2019",$201.1M,1h 52m,Walt Disney,,"John C. Reilly,Sarah Silverman,Gal Gadot,Taraji P. Henson,Jack McBrayer,Jane Lynch,Alan Tudyk,Alfred Molina,Ed O'Neill,Sean Giambrone,"
Creed II,,,,,,,,,,,,,,,,,
Green Book,77,91,360,"10,000+",PG-13 (Racial Epithets|Language|Thematic Content|Smoking|Some Violence|Suggestive Material),"Comedy, Drama",English,Peter Farrelly,"Jim Burke, Charles B. Wessler, Peter Farrelly, Brian Currie, Nick Vallelonga","Nick Vallelonga, Brian Currie, Peter Farrelly","Nov 21, 2018  Wide","Mar 12, 2019",$85.1M,2h 10m,Universal Pictures,,"Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,Dimiter D. Marinov,Mike Hatton,P.J. Byrne,Joe Cortese,Maggie Nixon,Von Lewis,"
Robin Hood,15,40,167,"2,500+",PG-13 (Extended Sequences of Violence|Action|Some Suggestive References),"Action, Adventure",English,Otto Bathurst,"Jennifer Davisson Killoran, Leonardo DiCaprio","Ben Chandler, David James Kelly","Nov 21, 2018  Wide","Feb 19, 2019",$30.8M,1h 58m,Lionsgate Films,,"Taron Egerton,Jamie Foxx,Ben Mendelsohn,Eve Hewson,Jamie Dornan,F. Murray Abraham,Tim Minchin,Paul Anderson,Josh Herdman,Cornelius Booth,"
Roma,96,72,404,"5,000+",R (Language|Graphic Nudity|Some Disturbing Images),Drama,Spanish,Alfonso Cuarón,"Alfonso Cuarón, Gabriela Rodriguez, Nicolás Celis",Alfonso Cuarón,"Nov 21, 2018  Limited","Dec 15, 2018",,2h 15m,Netflix,,"Yalitza Aparicio,Marina de Tavira,Marco Graf,Fernando Grediaga,Daniela Demesa,Carlos Peralta,Nancy García García,Jorge Antonio Guerrero,Enoc Leaño,Diego Cortina Autrey,"
The Favourite,93,69,422,"5,000+",R (Nudity|Language|Strong Sexual Content),"Drama, Comedy",English (United Kingdom),Yorgos Lanthimos,"Ceci Dempsey, Ed Guiney, Lee Magiday, Yorgos Lanthimos","Deborah Davis, Tony McNamara","Dec 14, 2018  Wide","Feb 12, 2019",$34.2M,2h 0m,Fox Searchlight,,"Olivia Colman,Rachel Weisz,Emma Stone,Nicholas Hoult,Joe Alwyn,James Smith,Mark Gatiss,Jenny Rainsford,Liam Fleming,Carolyn Saint-Pé,"
Mowgli: Legend of the Jungle,53,51,106,"1,000+",PG-13 (Bloody Images|Some Thematic Elements|Intense Action Violence),"Action, Adventure, Fantasy",English,Andy Serkis,"Steve Kloves, Jonathan Cavendish, David Barron",Callie Kloves,"Nov 29, 2018  Limited","Dec 7, 2018",,1h 45m,Netflix,,"Christian Bale,Cate Blanchett,Rohan Chand,Benedict Cumberbatch,Naomie Harris,Andy Serkis,Matthew Rhys,Freida Pinto,Peter Mullan,Jack Reynor,"
The Possession of Hannah Grace,18,27,55,500+,R (Terror Throughout|Gruesome Images),"Mystery & Thriller, Horror",English,Diederik Van Rooijen,"Todd Garner, Sean Robins",Brian Sieve,"Nov 30, 2018  Wide","Feb 19, 2019",$14.8M,1h 25m,"Sony Pictures Entertainment, Screen Gems",,"Shay Mitchell,Grey Damon,Kirby Johnson,Nick Thune,Louis Herthum,Stana Katic,Maximillian McNamara,Jacob Ming-Trent,James A. Watson Jr.,Marianne Bayard,"
Anna and the Apocalypse,77,62,123,"1,000+",R (Some Sexual Material|Language|Zombie Violence and Gore),"Other, Musical, Horror, Comedy",English,John McPhail,Naysun Alae-Carew,"Alan McDonald, Ryan McHenry","Nov 30, 2018  Limited","Feb 12, 2019",$518.4K,1h 32m,Orion Pictures,,"Ella Hunt,Malcolm Cumming,Sarah Swire,Christopher Leveaux,Ben Wiggins,Marli Siu,Mark Benton,Paul Kaye,Ella Jarvis,Calum Cormack,"
Capernaum,90,93,181,"1,000+",R (Some Drug Material|Language),Drama,Arabic,Nadine Labaki,"Anne-Dominique Toussaint, Nadine Labaki","Jihad Hojeily, Nadine Labaki","Dec 14, 2018  Limited","Mar 26, 2019",$1.7M,2h 10m,Sony Pictures Classics,,"Nadine Labaki,Kawthar Al Haddad,Boluwatife Treasure Bankole,Zain Al Rafeea,Yordanos Shiferaw,Fadi Yousef,Cedra Izzam,Alaa Chouchnieh,Elias Khoury,Nadine Labaki,"
Mary Queen of Scots,62,41,290,"2,500+",R (Some Violence and Sexuality),"History, Biography, Drama",English (United Kingdom),Josie Rourke,"Tim Bevan, Eric Fellner, Debra Hayward",Beau Willimon,"Dec 21, 2018  Wide","Feb 19, 2019",$16.4M,2h 4m,Focus Features,,"Saoirse Ronan,Margot Robbie,Jack Lowden,Joe Alwyn,David Tennant,Guy Pearce,Gemma Chan,Martin Compston,Ismael Cruz Cordova,Brendan Coyle,"
Ben Is Back,81,69,221,"1,000+",R (Some Drug Use|Language Throughout),"Mystery & Thriller, Drama",English,Peter Hedges,"Nina Jacobson, Brad Simpson, Teddy Schwarzman, Peter Hedges",Peter Hedges,"Jan 11, 2019  Wide","Feb 19, 2019",$3.7M,1h 43m,"LD Entertainment, Lionsgate Films, Roadside Attractions",,"Julia Roberts,Lucas Hedges,Courtney B. Vance,Kathryn Newton,Rachel Bay Jones,David Zaldivar,Alexandra Park,Michael Esper,Tim Guinee,Myra Lucretia Taylor,"
Spider-Man: Into the Spider-Verse,97,93,392,"10,000+",PG (Mild Language|Frenetic Action Violence|Thematic Elements),"Animation, Action, Fantasy, Kids & Family, Adventure, Comedy",English,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Avi Arad, Amy Pascal, Phil Lord, Chris Miller, Christina Steinberg","Phil Lord, Rodney Rothman","Dec 14, 2018  Wide","Mar 19, 2019",$190.2M,1h 57m,"Sony Pictures Entertainment, Columbia Pictures",,"Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Brian Tyree Henry,Lily Tomlin,Luna Lauren Velez,Zoë Kravitz,John Mulaney,Kimiko Glenn,"
filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
Escape Room,51,51,158,"2,500+",PG-13 (Some Suggestive Material|Language|Terror/Perilous Action|Violence),"Mystery & Thriller, Horror",English,Adam Robitel,"Neal H. Moritz, Ori Marmur","Bragi Schut, Maria Melnik","Jan 4, 2019  Wide","Apr 23, 2019",$57.0M,1h 40m,"Columbia Pictures, Sony Pictures Entertainment",,"Taylor Russell,Logan Miller,Deborah Ann Woll,Tyler Labine,Jay Ellis,Nik Dodani,Adam Robitel,Kenneth Fok,Yorick van Wageningen,Jessica Sutton,"
Rust Creek,85,61,48,500+,R (Language|Violence|Some Drug Material),"Mystery & Thriller, Drama, Horror",English,Jen McGowan,Stu Pollard,"Julie Lipson, Stu Pollard","Jan 4, 2019  Limited","Apr 2, 2019",,1h 48m,IFC Midnight,,"Hermione Corfield,Jay Paulson,Sean O'Bryan,John Marshall Jones,Micah A. Hauptman,Daniel R. Hill,Jeremy Glazer,Laura Guzman,Jen McGowan,Julie Lipson,"
American Hangman,44,57,9,100+,,Mystery & Thriller,English,Wilson Coneybeare,"Wilson Coneybeare, Meredith Fowler, Jim Sternberg",Wilson Coneybeare,"Jan 4, 2019  Limited","Jan 7, 2019",,1h 39m,"Vertical Entertainment, Aqute Media",,"Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Paul Braunstein,Paul Amato,Matt Baram,Dan Beirne,Joanne Boland,Wilson Coneybeare,Wilson Coneybeare,"
A Dog's Way Home,59,70,79,"1,000+",PG (Some Peril|Language|Thematic Elements),"Kids & Family, Adventure, Drama",English,Charles Martin Smith,Gavin Polone,"W. Bruce Cameron, Cathryn Michon","Jan 11, 2019  Wide","Mar 26, 2019",$42.0M,1h 36m,"Columbia Pictures, Sony Pictures Entertainment",,"Ashley Judd,Jonah Hauer-King,Edward James Olmos,Alexandra Shipp,Chris Bauer,Barry Watson,Wes Studi,Bryce Dallas Howard,Motell Gyn Foster,John Cassini,"
The Upside,43,82,189,"2,500+",PG-13 (Suggestive Content|Drug Use),"Drama, Comedy",English,Neil Burger,"Todd Black, Jason Blumenthal, Steve Tisch",Jon Hartmere,"Jan 11, 2019  Wide","May 14, 2019",$108.2M,2h 6m,STX Films,,"Kevin Hart,Bryan Cranston,Nicole Kidman,Aja Naomi King,Jahi Di'Allo Winston,Genevieve Angelson,Golshifteh Farahani,Tate Donovan,Julianna Margulies,Suzanne Savoy,"
Replicas,,,,,,,,,,,,,,,,,
After Darkness,,,,,,,,,,,,,,,,,
Glass,36,67,404,"10,000+",PG-13 (Some Bloody Images|Language|Thematic Elements|Violence),"Mystery & Thriller, Drama",English,M. Night Shyamalan,"Jason Blum, M. Night Shyamalan, Ashwin Rajan, Marc Bienstock",M. Night Shyamalan,"Jan 18, 2019  Wide","Apr 16, 2019",$111.0M,2h 9m,Universal Pictures,,"Bruce Willis,James McAvoy,Samuel L. Jackson,Sarah Paulson,Anya Taylor-Joy,Spencer Treat Clark,Charlayne Woodard,Adam David Thompson,Luke Kirby,M. Night Shyamalan,"
Close,37,34,35,250+,TVMA,"Action, Mystery & Thriller",English (United Kingdom),Vicky Jewson,,"Vicky Jewson, Rupert Whitaker",,"Jan 18, 2019",,1h 34m,,,"Noomi Rapace,Sophie Nélisse,Indira Varma,George Georgiou,Christopher Sciueref,Eoin Macken,Charley Palmer Rothwell,Akin Gazi,Huw Parmenter,Olivia Jewson,"
The Standoff at Sparrow Creek,78,66,51,250+,,Mystery & Thriller,English,Henry Dunham,"Johnathan Brownlee, Adam Donaghey, Sefton Fincham, Amanda Presmyk, Dallas Sonnier",Henry Dunham,"Jan 18, 2019  Limited","Jan 18, 2019",,1h 29m,RLJE Films,,"James Badge Dale,Patrick Fischler,Brian Geraghty,Chris Mulkey,Happy Anderson,Robert Aramayo,Gene Jones,Cotter Smith,Henry Dunham,Henry Dunham,"
The Final Wish,67,24,12,250+,,"Mystery & Thriller, Horror",English,Timothy Woodward Jr.,"Thommy Hutson, Jeffrey Reddick, Johnny Cleveland","Jeffrey Reddick, William Halfon, Jonathan Doyle","Jan 24, 2019  Limited","Feb 8, 2019",,1h 35m,Cinedigm,,"Lin Shaye,Michael Welch,Melissa Bolona,Spencer Locke,Tony Todd,Kaiwi Lyman,Jonathan Daniel Brown,Jean Elie,Timothy Woodward Jr.,Jeffrey Reddick,"
The Kid Who Would Be King,90,55,191,"1,000+",PG (Language|Fantasy Action Violence|Scary Images|Some Bullying|Thematic Elements),"Kids & Family, Adventure, Fantasy",English,Joe Cornish,"Nira Park, Tim Bevan, Eric Fellner",Joe Cornish,"Jan 25, 2019  Wide","Apr 16, 2019",$16.8M,2h 0m,20th Century Fox,,"Louis Ashbourne Serkis,Rebecca Ferguson,Patrick Stewart,Dean Chaumoo,Tom Taylor,Rhianna Dorris,Angus Imrie,Denise Gough,Joe Cornish,Joe Cornish,"
Serenity,21,30,199,"1,000+",R (Sexual Content|Language Throughout|Some Bloody Images),"Mystery & Thriller, Drama",English,Steven Knight,"Steven Knight, Greg Shapiro, Guy Heeley",Steven Knight,"Jan 25, 2019  Wide","Apr 30, 2019",$8.5M,1h 43m,Aviron Pictures,,"Matthew McConaughey,Anne Hathaway,Jason Clarke,Diane Lane,Djimon Hounsou,Jeremy Strong,Robert Hobbs,Kenneth Fok,Steven Knight,Steven Knight,"
I Am Mother,91,75,74,"1,000+",,"Sci-Fi, Mystery & Thriller",English (Australia),Grant Sputore,"Kelvin Munro, Timothy White",Michael Lloyd Green,,"Jun 7, 2019",,1h 55m,,,"Hilary Swank,Clara Rugaard,Rose Byrne,Tahlia Sturzaker,Jacob Nolan,Summer Lenton,Hazel Sandery,Luke Hawker,Grant Sputore,Michael Lloyd Green,"
The Vast of Night,92,66,245,"1,000+",PG-13 (Brief Strong Language),"Mystery & Thriller, Fantasy",English,Andrew Patterson,"Adam Dietrich, Melissa Kirkendall, James Montague",James Montague,"May 15, 2020  Limited","May 31, 2020",,1h 30m,Amazon Studios,,"Sierra McCormick,Jake Horowitz,Gail Cronauer,Bruce Davis,Cheyenne Barton,Gregory Peyton,Mallorie Rodak,Mollie Milligan,Andrew Patterson,James Montague,"
Miss Bala,21,54,113,500+,PG-13 (Sequences of Gun Violence|Language|Sexual and Drug Content|Thematic Material),"Action, Mystery & Thriller",English,Catherine Hardwicke,"Kevin Misher, Pablo Cruz",Gareth Dunnet-Alcocer,"Feb 1, 2019  Wide","Apr 16, 2019",$15.0M,1h 44m,"Sony Pictures Entertainment, Columbia Pictures",,"Gina Rodriguez,Ismael Cruz Cordova,Anthony Mackie,Cristina Rodlo,Matt Lauria,Aislinn Derbez,Ricardo Abarca,Damián Alcázar,Thomas Dekker,Catherine Hardwicke,"
Velvet Buzzsaw,,,,,,,,,,,,,,,,,
Piercing,72,42,101,250+,R (Language|Aberrant Violent Content|Aberrant Sexual Content|Nudity),"Mystery & Thriller, Horror, Comedy",English,Nicolas Pesce,"Antonio Campos, Josh Mond, Jacob Wasserman, Schuyler Weiss",Nicolas Pesce,"Feb 1, 2019  Limited","Jan 16, 2019",$14.2K,1h 21m,Greenwich Entertainment,,"Christopher Abbott,Mia Wasikowska,Laia Costa,Marin Ireland,Maria Dizzia,Wendell Pierce,Olivia Bond,Nicolas Pesce,Nicolas Pesce,Antonio Campos,"
The Lego Movie 2: The Second Part,,,,,,,,,,,,,,,,,
What Men Want,41,33,147,"1,000+",R (Sexual Content Throughout|Language|Some Drug Material),"Fantasy, Romance, Comedy",English,Adam Shankman,"Will Packer, James Lopez","Tina Gordon Chism, Peter Huyck, Alex Gregory","Feb 8, 2019  Wide","May 7, 2019",$54.6M,1h 57m,Paramount Pictures,,"Taraji P. Henson,Tracy Morgan,Aldis Hodge,Wendi McLendon-Covey,Tamala Jones,Phoebe Robinson,Kristen Ledlow,Josh Brener,Kellan Lutz,Mathias Alvarez,"
Cold Pursuit,68,49,186,"2,500+",R (Sexual References|Drug Material|Some Language|Strong Violence),"Action, Mystery & Thriller",English,Hans Petter Moland,"Michael Shamberg, Ameet Shukla, Stein B. Kvae, Finn Gjerdrum",Frank Baldwin,"Feb 8, 2019  Wide","May 14, 2019",$32.1M,1h 58m,"Lionsgate Films, Summit Entertainment",,"Liam Neeson,Tom Bateman,Tom Jackson,Emmy Rossum,Domenick Lombardozzi,Julia Jones,John Doman,Laura Dern,Raoul Max Trujillo,William Forsythe,"
High Flying Bird,91,50,135,250+,,Drama,English,Steven Soderbergh,Joseph Malloch,Tarell Alvin McCraney,,"Feb 8, 2019",,1h 30m,,,"André Holland,Zazie Beetz,Bill Duke,Sonja Sohn,Melvin Gregg,Zachary Quinto,Kyle MacLachlan,Jeryl Prescott,Glenn Fleshler,Caleb McLaughlin,"
The Prodigy,43,37,82,500+,R (Brief Graphic Nudity|A Sexual Reference|Disturbing and Bloody Images|Violence),"Mystery & Thriller, Horror",English,Nicholas McCarthy,"Tripp Vinson, Tara Farney",Jeff Buhler,"Feb 8, 2019  Wide","May 7, 2019",$14.9M,1h 32m,Orion Pictures,,"Taylor Schilling,Jackson Robert Scott,Peter Mooney,Colm Feore,Paul Fauteux,Brittany Allen,Olunike Adeliyi,Elisa Moolecherry,Paula Boudreau,Mark Sparks,"
Isn't It Romantic,70,47,180,"2,500+",PG-13 (Some Sexual Material|Language|A Brief Drug Reference),"Fantasy, Romance, Comedy",English,Todd Strauss-Schulson,"Gina Matthews, Grant Scharbo, Todd Garner","Erin Cardillo, Dana Fox, Katie Silberman","Feb 13, 2019  Wide","May 21, 2019",$48.8M,1h 28m,Warner Bros. Pictures,,"Rebel Wilson,Liam Hemsworth,Adam DeVine,Priyanka Chopra Jonas,Betty Gilpin,Brandon Scott Jones,Jennifer Saunders,Alex Kis,Big Jay Oakerson,Rao Rampilla,"
Happy Death Day 2U,71,58,209,"2,500+",PG-13 (Sexual Material|Language|Thematic Elements|Violence),"Mystery & Thriller, Horror, Comedy",English,Christopher Landon,Jason Blum,Christopher Landon,"Feb 13, 2019  Wide","May 14, 2019",$28.0M,1h 40m,Universal Pictures,,"Jessica Rothe,Israel Broussard,Phi Vu,Suraj Sharma,Sarah Yarkin,Rachel Matthews,Ruby Modine,Steve Zissis,Charles Aitken,Laura Clifton,"
Alita: Battle Angel,61,92,329,"25,000+",PG-13 (Sequences of Sci-Fi Violence|Action|Some Language),"Fantasy, Animation, Adventure, Sci-Fi, Action",English,Robert Rodriguez,"James Cameron, Jon Landau","James Cameron, Laeta Kalogridis","Feb 14, 2019  Wide","Jul 23, 2019",$85.8M,2h 2m,20th Century Fox,,"Rosa Salazar,Christoph Waltz,Keean Johnson,Mahershala Ali,Jennifer Connelly,Ed Skrein,Jackie Earle Haley,Lana Condor,Idara Victor,Eiza González,"
How to Train Your Dragon: The Hidden World,90,86,272,"50,000+",PG (Some Mild Rude Humor|Adventure Action),"Animation, Adventure, Fantasy, Kids & Family, Comedy",English,Dean DeBlois,"Brad Lewis, Bonnie Arnold",Dean DeBlois,"Feb 22, 2019  Wide","May 21, 2019",$160.8M,1h 44m,Universal Pictures,,"Jay Baruchel,America Ferrera,F. Murray Abraham,Cate Blanchett,Gerard Butler,Craig Ferguson,Jonah Hill,Christopher Mintz-Plasse,Kristen Wiig,Kit Harington,"
Fighting with My Family,,,,,,,,,,,,,,,,,
Tyler Perry's A Madea Family Funeral,11,30,36,500+,PG-13 (Drug References Throughout|Crude Sexual Content|Language),Comedy,English,Tyler Perry,"Tyler Perry, Mark E. Swinton, Will Areu, Ozzie Areu",Tyler Perry,"Mar 1, 2019  Wide","Jun 4, 2019",$73.2M,1h 49m,Lionsgate Films,,"Tyler Perry,Cassi Davis,Patrice Lovely,Ciera Payton,Kj Smith,David Otunga,Rome Flynn,Courtney Burrell,Jen Harper,Derek Morgan,"
Greta,,,,,,,,,,,,,,,,,
Triple Frontier,71,55,137,"1,000+",R (Language Throughout|Violence),"Action, Adventure, Mystery & Thriller",English,J.C. Chandor,"Charles Roven, Alex Gartner, Andy Horwitz, Neal Dodson","Mark Boal, J.C. Chandor","Mar 6, 2019  Limited","Mar 15, 2019",,2h 5m,Netflix,,"Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund,Pedro Pascal,Adria Arjona,Sheila Vand,Rey Gallegos,Michael Benjamin Hernandez,Pedro Lopez,"
Captain Marvel,79,45,543,"100,000+",PG-13 (Brief Suggestive Language|Action|Sequences of Sci-Fi Violence),"Fantasy, Action, Adventure, Sci-Fi",English,"Anna Boden, Ryan Fleck",Kevin Feige,"Anna Boden, Ryan Fleck, Geneva Robertson-Dworet, Jac Schaeffer","Mar 8, 2019  Wide","May 28, 2019",$426.8M,2h 4m,Walt Disney,,"Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Djimon Hounsou,Lee Pace,Lashana Lynch,Gemma Chan,Clark Gregg,Jude Law,Annette Bening,"
The Kid,43,47,46,250+,R (Violence and Language),"Western, Drama",English,Vincent D'Onofrio,"Jordan Schur, Nick Thurlow, Sam Maydew, David Mimran",Andrew Lanham,"Mar 8, 2019  Limited","Jun 4, 2019",$1.5M,1h 40m,Lionsgate Films,,"Ethan Hawke,Dane DeHaan,Jake Schur,Leila George,Adam Baldwin,Chris Pratt,Charlie Chappell,Clint Obenchain,Chris Bylsma,Chad Dashnaw,"
Wonder Park,34,44,108,500+,PG (Some Mild Thematic Elements|Action),"Animation, Fantasy, Kids & Family, Adventure, Comedy",English,Dylan C. Brown,"Josh Appelbaum, Andre Nemec, Kendra Haaland","Josh Appelbaum, Andre Nemec","Mar 15, 2019  Wide","Jun 18, 2019",$45.2M,1h 25m,Paramount Pictures,,"Jennifer Garner,Matthew Broderick,John Oliver,Mila Kunis,Kenan Thompson,Ken Jeong,Norbert Leo Butz,Brianna Denski,Ken Campbell,Sofia Mali,"
Captive State,44,38,80,500+,PG-13 (Drug Material|Brief Language|Sci-Fi Violence and Action|Some Sexual Content),"Mystery & Thriller, Sci-Fi",English,Rupert Wyatt,"David Crockett, Rupert Wyatt","Erica Beeney, Rupert Wyatt","Mar 15, 2019  Wide","Jun 11, 2019",$5.9M,1h 49m,Focus Features,,"John Goodman,Ashton Sanders,Jonathan Majors,Vera Farmiga,Kevin Dunn,James Ransone,Alan Ruck,Madeline Brewer,Machine Gun Kelly,Kevin J. O'Connor,"
